fecha;zona1;zona2;zona3;zona4;zona5;zona6
10/04/2017;43.5;48.0;47.75;35.2;37.75;29.5
10/05/2017;72.0;80.67;79.5;69.0;70.0;52.75
10/06/2017;50.5;36.0;53.0;32.2;40.0;26.25
10/07/2017;50.5;45.67;51.25;35.2;38.5;24.5
10/08/2017;59.25;65.0;66.25;51.8;58.0;40.0
10/09/2017;73.75;67.0;75.0;60.0;71.0;47.25
10/10/2017;78.75;79.0;81.5;69.6;75.5;54.5
10/11/2017;97.5;97.33;100.5;81.6;99.25;65.5
10/12/2017;86.25;78.33;87.25;64.4;79.0;50.5
10/13/2017;68.0;62.33;74.0;53.6;66.5;44.75
10/14/2017;72.0;72.0;75.0;56.2;69.5;44.25
10/15/2017;51.5;40.67;58.5;40.2;47.0;36.75
10/16/2017;49.5;53.0;55.25;45.8;41.25;38.0
10/17/2017;49.25;55.0;51.25;51.6;40.5;41.25
10/18/2017;43.75;47.67;48.0;41.4;40.5;31.25
10/19/2017;50.75;54.33;57.0;47.4;56.67;33.0
10/20/2017;51.5;54.67;57.5;49.6;48.0;36.0
10/21/2017;42.25;41.0;36.5;32.0;32.75;26.75
10/22/2017;41.0;34.67;46.25;30.6;39.75;26.5
10/23/2017;67.5;64.33;71.0;53.4;64.25;44.25
10/24/2017;78.0;72.33;77.75;59.2;66.75;53.75
10/25/2017;87.25;83.0;85.5;64.0;78.0;60.0
10/26/2017;99.25;93.0;96.0;73.2;85.75;66.0
10/27/2017;63.75;46.0;66.25;45.8;54.25;39.5
10/28/2017;46.5;32.67;50.5;29.2;38.0;29.25
10/29/2017;46.25;32.33;49.5;32.2;37.0;29.0
10/30/2017;45.25;36.67;47.25;30.4;37.75;28.75
10/31/2017;58.75;54.33;59.5;45.8;56.5;39.5
11/01/2017;52.25;46.67;57.0;41.0;52.0;35.5
11/02/2017;62.5;63.67;63.0;52.6;58.5;44.5
11/03/2017;61.0;64.33;61.5;49.4;54.75;43.0
11/04/2017;42.25;40.0;42.25;37.8;37.0;24.5
11/05/2017;40.75;31.33;40.75;23.8;34.25;19.75
11/06/2017;47.5;37.33;52.0;21.4;38.25;30.5
11/07/2017;66.25;74.33;68.25;65.6;67.25;58.25
11/08/2017;56.25;50.33;60.0;43.6;55.25;33.0
11/09/2017;37.75;25.33;37.0;19.6;25.5;19.0
11/10/2017;62.25;52.0;70.0;43.2;53.25;42.75
11/11/2017;68.75;72.0;72.25;69.8;74.0;48.25
11/12/2017;59.75;61.33;63.5;58.4;61.25;39.5
11/13/2017;52.75;42.0;58.25;31.6;42.5;28.25
11/14/2017;70.5;74.33;77.5;71.2;79.25;53.5
11/15/2017;83.25;89.33;91.0;79.8;89.5;66.25
11/16/2017;99.5;99.0;107.25;89.6;112.0;74.5
11/17/2017;91.25;93.33;106.5;86.8;108.75;69.0
11/18/2017;65.5;61.67;73.5;51.2;70.5;45.5
11/19/2017;68.0;68.67;73.25;60.6;70.5;49.25
11/20/2017;87.0;97.67;95.25;80.2;98.75;77.75
11/21/2017;95.25;105.33;103.75;86.4;109.25;77.75
11/22/2017;87.0;89.33;96.5;81.8;93.5;76.25
11/23/2017;94.25;112.67;104.75;94.4;111.25;75.75
11/24/2017;74.25;82.0;86.75;79.6;87.0;61.25
11/25/2017;57.75;50.67;69.75;49.2;57.75;37.25
11/26/2017;40.0;30.33;41.5;28.4;35.25;24.25
11/27/2017;72.0;80.0;77.25;68.6;78.75;59.25
11/28/2017;81.75;84.67;84.75;68.8;81.75;73.5
11/29/2017;53.75;46.33;59.5;41.0;46.5;36.75
11/30/2017;48.0;41.67;55.25;44.0;48.75;26.0
