fecha;estacion008;estacion011;estacion039;estacion047;estacion049;estacion050;estacion056
08/02/2017;59.0;39.0;33.0;39.0;26.0;39.0;65.0
08/03/2017;61.0;41.0;42.0;39.0;27.0;43.0;73.0
08/04/2017;57.0;42.0;28.0;36.0;21.0;36.0;51.0
08/05/2017;51.0;21.0;22.0;28.0;16.0;25.0;48.0
08/06/2017;30.0;10.0;13.0;11.0;6.0;18.0;26.0
08/07/2017;46.0;22.0;20.0;18.0;13.0;29.0;34.0
08/08/2017;32.0;21.0;14.0;14.0;9.0;22.0;24.0
08/09/2017;29.0;16.0;12.0;17.0;11.0;18.0;30.0
08/10/2017;24.0;11.0;9.0;13.0;7.0;12.0;29.0
08/11/2017;33.0;21.0;14.0;20.0;12.0;17.0;43.0
08/12/2017;34.0;24.0;25.0;21.0;10.0;20.0;49.0
08/13/2017;46.0;30.0;30.0;30.0;17.0;20.0;55.0
08/14/2017;34.0;27.0;21.0;19.0;12.0;17.0;45.0
08/15/2017;33.0;12.0;12.0;12.0;7.0;18.0;21.0
08/16/2017;55.0;44.0;30.0;32.0;23.0;33.0;49.0
08/17/2017;50.0;39.0;29.0;35.0;19.0;29.0;63.0
08/18/2017;64.0;47.0;37.0;46.0;32.0;42.0;61.0
08/19/2017;33.0;19.0;15.0;19.0;8.0;13.0;42.0
08/20/2017;34.0;17.0;14.0;20.0;11.0;13.0;45.0
08/21/2017;43.0;33.0;25.0;28.0;19.0;24.0;57.0
08/22/2017;44.0;30.0;20.0;22.0;13.0;31.0;52.0
08/23/2017;72.0;46.0;37.0;44.0;35.0;47.0;66.0
08/24/2017;61.0;36.0;30.0;32.0;20.0;38.0;68.0
08/25/2017;67.0;39.0;31.0;50.0;30.0;45.0;73.0
08/26/2017;56.0;33.0;42.0;30.0;41.0;59.0
08/27/2017;31.0;17.0;11.0;18.0;11.0;16.0;30.0
08/28/2017;45.0;34.0;19.0;36.0;24.0;31.0;50.0
08/29/2017;40.0;26.0;18.0;26.0;16.0;28.0;47.0
08/30/2017;44.0;30.0;21.0;26.0;19.0;33.0;47.0
08/31/2017;38.0;24.0;14.0;22.0;14.0;26.0;47.0
09/01/2017;33.0;17.0;13.0;23.0;14.0;16.0;42.0
09/02/2017;38.0;34.0;21.0;27.0;17.0;21.0;49.0
09/03/2017;66.0;41.0;40.0;44.0;35.0;31.0;50.0
09/04/2017;46.0;30.0;21.0;27.0;18.0;18.0;39.0
09/05/2017;58.0;52.0;37.0;37.0;24.0;26.0;62.0
09/06/2017;59.0;41.0;22.0;38.0;27.0;65.0
09/07/2017;45.0;23.0;12.0;30.0;16.0;9.0;55.0
09/08/2017;74.0;48.0;26.0;44.0;21.0;69.0
09/09/2017;39.0;23.0;7.0;17.0;12.0;11.0;23.0
09/10/2017;31.0;19.0;9.0;15.0;9.0;9.0;27.0
