fecha;estacion004;estacion008;estacion011;estacion035;estacion038;estacion039;estacion047;estacion048;estacion049;estacion050
04/09/2017;52.0;44.0;25.0;41.0;24.0;26.0;28.0;22.0;16.0;20.0
04/10/2017;62.0;57.0;42.0;49.0;43.0;43.0;42.0;36.0;27.0;38.0
04/11/2017;71.0;66.0;46.0;60.0;51.0;36.0;55.0;38.0;36.0;44.0
04/12/2017;58.0;71.0;46.0;57.0;45.0;51.0;47.0;41.0;31.0;52.0
04/13/2017;55.0;69.0;37.0;55.0;42.0;49.0;44.0;38.0;37.0;42.0
04/14/2017;38.0;57.0;31.0;38.0;28.0;38.0;32.0;34.0;25.0;31.0
04/15/2017;34.0;47.0;30.0;31.0;20.0;26.0;27.0;22.0;19.0;28.0
04/16/2017;28.0;38.0;27.0;33.0;26.0;24.0;26.0;21.0;14.0;24.0
04/17/2017;50.0;68.0;51.0;53.0;51.0;53.0;46.0;46.0;36.0;50.0
04/18/2017;31.0;49.0;27.0;44.0;38.0;22.0;32.0;21.0;18.0;24.0
04/19/2017;29.0;38.0;24.0;34.0;23.0;20.0;21.0;19.0;14.0;18.0
04/20/2017;36.0;39.0;25.0;33.0;21.0;19.0;22.0;20.0;12.0;16.0
04/21/2017;42.0;45.0;32.0;38.0;30.0;27.0;28.0;23.0;16.0;23.0
04/22/2017;54.0;51.0;33.0;45.0;32.0;33.0;34.0;21.0;19.0;24.0
04/23/2017;60.0;64.0;51.0;55.0;55.0;51.0;54.0;42.0;32.0;43.0
04/24/2017;62.0;72.0;55.0;59.0;52.0;48.0;53.0;44.0;40.0;48.0
04/25/2017;37.0;61.0;44.0;39.0;33.0;32.0;35.0;37.0;25.0;44.0
04/26/2017;25.0;44.0;29.0;28.0;28.0;17.0;17.0;22.0;11.0;32.0
04/27/2017;20.0;38.0;16.0;31.0;25.0;14.0;20.0;10.0;13.0;16.0
04/28/2017;26.0;36.0;22.0;30.0;24.0;17.0;19.0;15.0;13.0;18.0
04/29/2017;39.0;44.0;32.0;38.0;29.0;26.0;30.0;26.0;20.0;25.0
04/30/2017;25.0;40.0;24.0;29.0;21.0;19.0;19.0;25.0;13.0;29.0
05/01/2017;25.0;30.0;18.0;27.0;16.0;15.0;18.0;16.0;10.0;22.0
05/02/2017;41.0;47.0;35.0;41.0;30.0;33.0;40.0;28.0;23.0;30.0
05/03/2017;51.0;61.0;51.0;49.0;45.0;42.0;44.0;42.0;31.0;42.0
05/04/2017;74.0;82.0;62.0;69.0;65.0;60.0;65.0;52.0;50.0;53.0
05/05/2017;37.0;60.0;34.0;39.0;28.0;33.0;29.0;31.0;20.0;37.0
05/06/2017;17.0;39.0;17.0;22.0;14.0;15.0;10.0;16.0;5.0;26.0
05/07/2017;40.0;47.0;29.0;44.0;31.0;28.0;35.0;20.0;17.0;26.0
05/08/2017;44.0;58.0;44.0;47.0;39.0;39.0;40.0;36.0;23.0;42.0
05/09/2017;51.0;67.0;43.0;44.0;40.0;38.0;36.0;39.0;26.0;43.0
05/10/2017;22.0;42.0;25.0;25.0;16.0;17.0;12.0;22.0;8.0;27.0
05/11/2017;22.0;53.0;21.0;28.0;20.0;20.0;17.0;27.0;13.0;35.0
05/12/2017;31.0;54.0;29.0;35.0;27.0;26.0;26.0;35.0;20.0;40.0
05/13/2017;17.0;41.0;14.0;25.0;14.0;14.0;16.0;17.0;10.0;22.0
05/14/2017;28.0;46.0;27.0;30.0;22.0;24.0;24.0;23.0;30.0
05/15/2017;45.0;53.0;38.0;45.0;37.0;31.0;39.0;26.0;34.0
05/16/2017;65.0;68.0;46.0;62.0;53.0;42.0;50.0;34.0;28.0;37.0
05/17/2017;36.0;58.0;38.0;44.0;34.0;30.0;29.0;31.0;20.0;33.0
05/18/2017;39.0;46.0;32.0;36.0;29.0;21.0;23.0;26.0;17.0;33.0
05/19/2017;42.0;52.0;36.0;41.0;34.0;27.0;29.0;29.0;19.0;37.0
05/20/2017;54.0;57.0;39.0;51.0;43.0;40.0;38.0;28.0;22.0;34.0
05/21/2017;44.0;56.0;29.0;50.0;42.0;28.0;41.0;25.0;29.0;27.0
05/22/2017;55.0;74.0;61.0;55.0;57.0;55.0;48.0;51.0;37.0;55.0
05/23/2017;35.0;52.0;25.0;47.0;34.0;19.0;28.0;16.0;16.0;21.0
05/24/2017;56.0;65.0;46.0;54.0;46.0;50.0;34.0;34.0;21.0;37.0
05/25/2017;52.0;66.0;49.0;47.0;43.0;40.0;33.0;38.0;20.0;43.0
05/26/2017;48.0;71.0;44.0;48.0;42.0;39.0;37.0;38.0;23.0;46.0
05/27/2017;41.0;45.0;27.0;34.0;21.0;22.0;19.0;21.0;13.0;20.0
05/28/2017;32.0;38.0;21.0;29.0;16.0;15.0;13.0;15.0;6.0;19.0
05/29/2017;22.0;52.0;27.0;27.0;22.0;23.0;17.0;26.0;11.0;35.0
