PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;24;1;28079024_1_38;2018;01;08;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00006;V;00006;V;00005;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;6;28079024_6_48;2018;01;08;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;7;28079024_7_8;2018;01;08;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00016;V;00030;V;00040;V;00013;V;00012;V;00011;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;8;28079024_8_8;2018;01;08;00052;V;00037;V;00018;V;00017;V;00013;V;00011;V;00014;V;00023;V;00063;V;00054;V;00049;V;00034;V;00030;V;00030;V;00025;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;9;28079024_9_47;2018;01;08;00006;V;00008;V;00006;V;00003;V;00004;V;00002;V;00003;V;00003;V;00004;V;00004;V;00007;V;00008;V;00003;V;00004;V;00009;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;10;28079024_10_47;2018;01;08;00008;V;00009;V;00007;V;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00005;V;00009;V;00011;V;00007;V;00008;V;00013;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;12;28079024_12_8;2018;01;08;00054;V;00038;V;00019;V;00019;V;00014;V;00012;V;00015;V;00025;V;00088;V;00100;V;00110;V;00054;V;00048;V;00047;V;00034;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;14;28079024_14_6;2018;01;08;04.50;V;05.18;V;18.14;V;17.79;V;29.57;V;32.29;V;30.57;V;22.53;V;01.82;V;02.05;V;07.59;V;35.68;V;42.54;V;42.78;V;52.42;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;20;28079024_20_59;2018;01;08;001.0;V;001.1;V;000.7;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;001.0;V;002.1;V;002.1;V;001.7;V;001.5;V;001.9;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;30;28079024_30_59;2018;01;08;000.6;V;000.6;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.7;V;000.9;V;000.7;V;000.5;V;000.5;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;35;28079024_35_59;2018;01;08;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;42;28079024_42_2;2018;01;08;01.22;V;01.19;V;01.19;V;01.21;V;01.17;V;01.17;V;01.17;V;01.17;V;01.18;V;01.20;V;01.20;V;01.18;V;01.18;V;01.18;V;01.17;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;43;28079024_43_2;2018;01;08;01.14;V;01.12;V;01.13;V;01.15;V;01.11;V;01.11;V;01.11;V;01.11;V;01.11;V;01.12;V;01.13;V;01.11;V;01.11;V;01.11;V;01.11;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;44;28079024_44_2;2018;01;08;00.08;V;00.07;V;00.06;V;00.06;V;00.06;V;00.05;V;00.06;V;00.06;V;00.07;V;00.08;V;00.08;V;00.07;V;00.07;V;00.07;V;00.06;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;7;28079027_7_8;2018;01;08;00009;V;00005;V;00001;V;00001;V;00001;V;00004;V;00022;V;00043;V;00060;V;00050;V;00027;V;00024;V;00009;V;00006;V;00014;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;8;28079027_8_8;2018;01;08;00046;V;00037;V;00022;V;00024;V;00016;V;00031;V;00051;V;00070;V;00081;V;00071;V;00048;V;00043;V;00024;V;00018;V;00034;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;12;28079027_12_8;2018;01;08;00060;V;00045;V;00024;V;00026;V;00018;V;00037;V;00085;V;00136;V;00173;V;00148;V;00089;V;00080;V;00038;V;00028;V;00055;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;14;28079027_14_6;2018;01;08;11.14;V;13.88;V;21.99;V;20.32;V;26.78;V;20.88;V;07.77;V;02.30;V;01.06;V;06.04;V;21.21;V;27.73;V;42.70;V;51.15;V;40.64;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;1;28079035_1_38;2018;01;08;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00006;V;00007;V;00007;V;00006;V;00006;V;00007;V;00007;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;6;28079035_6_48;2018;01;08;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;7;28079035_7_8;2018;01;08;00004;V;00003;V;00002;V;00004;V;00002;V;00003;V;00032;V;00021;V;00025;V;00039;V;00032;V;00027;V;00025;V;00030;V;00014;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;8;28079035_8_8;2018;01;08;00040;V;00032;V;00026;V;00026;V;00021;V;00023;V;00044;V;00052;V;00060;V;00064;V;00058;V;00055;V;00051;V;00054;V;00045;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;12;28079035_12_8;2018;01;08;00046;V;00036;V;00029;V;00032;V;00024;V;00029;V;00093;V;00084;V;00098;V;00124;V;00107;V;00096;V;00089;V;00100;V;00067;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;14;28079035_14_6;2018;01;08;12.17;V;15.60;V;22.92;V;19.05;V;26.02;V;26.02;V;17.03;V;07.20;V;01.72;V;02.40;V;06.74;V;10.16;V;14.18;V;11.51;V;23.24;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;1;28079036_1_38;2018;01;08;00019;V;00020;V;00022;V;00017;V;00009;V;00007;V;00013;V;00030;V;00030;V;00059;V;00037;V;00025;V;00034;V;00026;V;00023;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;6;28079036_6_48;2018;01;08;000.3;V;000.3;V;000.4;V;000.3;V;000.2;V;000.4;V;000.4;V;000.7;V;001.3;V;001.4;V;001.3;V;000.7;V;000.9;V;000.6;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;7;28079036_7_8;2018;01;08;00011;V;00003;V;00002;V;00002;V;00003;V;00002;V;00004;V;00023;V;00081;V;00029;V;00025;V;00019;V;00017;V;00022;V;00015;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;8;28079036_8_8;2018;01;08;00058;V;00034;V;00030;V;00021;V;00024;V;00018;V;00032;V;00061;V;00090;V;00064;V;00052;V;00038;V;00038;V;00047;V;00037;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;10;28079036_10_47;2018;01;08;00011;V;00007;V;00005;V;00003;V;00002;V;00004;V;00025;V;00011;V;00009;V;00013;V;00019;V;00013;V;00008;V;00014;V;00015;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;12;28079036_12_8;2018;01;08;00075;V;00039;V;00033;V;00023;V;00028;V;00022;V;00038;V;00097;V;00215;V;00108;V;00091;V;00068;V;00064;V;00081;V;00061;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;1;28079038_1_38;2018;01;08;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00004;V;00006;V;00007;V;00005;V;00005;V;00005;V;00005;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;7;28079038_7_8;2018;01;08;00007;V;00012;V;00002;V;00002;V;00003;V;00011;V;00008;V;00038;V;00130;V;00134;V;00056;V;00063;V;00021;V;00024;V;00020;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;8;28079038_8_8;2018;01;08;00046;V;00040;V;00020;V;00016;V;00016;V;00027;V;00034;V;00066;V;00111;V;00108;V;00072;V;00072;V;00039;V;00042;V;00040;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;9;28079038_9_47;2018;01;08;00006;V;00006;V;00004;V;00003;V;00001;V;00001;V;00003;V;00004;V;00006;V;00013;V;00011;V;00001;N;00001;N;00006;V;00008;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;10;28079038_10_47;2018;01;08;00007;V;00006;V;00004;V;00004;V;00001;V;00001;V;00004;V;00005;V;00009;V;00017;V;00015;V;00001;N;00001;N;00010;V;00010;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;12;28079038_12_8;2018;01;08;00057;V;00058;V;00023;V;00019;V;00021;V;00044;V;00047;V;00123;V;00311;V;00314;V;00157;V;00168;V;00072;V;00079;V;00072;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;20;28079038_20_59;2018;01;08;001.0;V;001.0;V;000.6;V;000.5;V;000.4;V;000.4;V;000.6;V;001.0;V;002.2;V;004.8;V;004.6;V;003.5;N;020.5;N;002.6;V;001.9;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;30;28079038_30_59;2018;01;08;000.6;V;000.5;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.5;V;000.9;V;001.9;V;001.8;V;001.1;N;006.9;N;000.7;V;000.6;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;35;28079038_35_59;2018;01;08;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.7;V;000.8;V;000.6;N;014.7;N;000.8;V;000.6;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;6;28079039_6_48;2018;01;08;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;7;28079039_7_8;2018;01;08;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00018;V;00038;V;00041;V;00040;V;00024;V;00018;V;00019;V;00016;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;8;28079039_8_8;2018;01;08;00042;V;00036;V;00045;V;00028;V;00020;V;00017;V;00041;V;00067;V;00080;V;00077;V;00064;V;00047;V;00038;V;00034;V;00033;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;12;28079039_12_8;2018;01;08;00044;V;00037;V;00047;V;00029;V;00021;V;00018;V;00046;V;00094;V;00138;V;00139;V;00125;V;00084;V;00065;V;00063;V;00057;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
